manga,author,publisher,demographic,num_of_vol,serialized,sales,sales_per_vol,genre,isbn_10,isbn_13,description,cover_image_url,tags,rating_avg,year,year_bucket,amazon_link
Rokudenashi Blues,Masanori Morita,Shueisha,Shōnen,42,1988–1997,60million,1.42 million,Action,None,,"Maeda is a new student in the Teiken High School. He stutters when he's nervous and he's rather clumsy. He gets noted immediately because he hits a teacher during the entrance ceremony. Some clubs search to enlist him as they see in him a force they can use to get even with other clubs. But Maeda is a loner and has only one dream: becoming boxing champion. His first objective is to beat the leader of the boxing club. ""Rokudenashi"" translates as ""good for nothing"".",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx34444-wNgwisVPNhE4.png,"Delinquents, School, Boxing, Shounen, Episodic",74,1988,classic,https://www.amazon.com/s?k=nan
Rookies,Masanori Morita,Shueisha,Shōnen,24,1998–2003,21million,0.87 million,Sports,2845800150,9.78285E+12,"Koichi Kawato is the new Japanese teacher at the ill-famed Futakotamagawa high school, whose baseball club is composed of thugs and bullies who have been suspended for a year from all school competitions, for causing a brawl during an official match. The newly appointed teacher finds that the club members left are only interested in women, smoking and doing nothing until, under Kawato's guidance, they discover a new dream called the Koshien. However, the road to the Koshien is far from easy as many obstacles await them.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30915-bimfJSD4pzdl.jpg,"Baseball, Delinquents, Coming of Age, Shounen, Teacher",82,1998,classic,https://www.amazon.com/s?k=9782845800151
Sailor Moon,Naoko Takeuchi,Kodansha,Shōjo,18,1991–1997,46million,2.55 million,Fantasy,None,9.7989E+12,"Usagi Tsukino is a normal girl until she meets up with Luna, a talking cat, who tells her that she is Sailor Moon. As Sailor Moon, Usagi must fight evils and enforce justice, in the name of the Moon and the mysterious Moon Princess. She meets other girls destined to be Sailor Senshi (Sailor Scouts), and together, they fight the forces of evil!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30092-tjzz7ymlFfQu.png,"Shoujo, Primarily Female Cast, Reincarnation, Magic, Lost Civilization",79,1991,classic,https://www.amazon.com/s?k=9798897221929
Saint Seiya,Masami Kurumada,Shueisha,Shōnen,28,1986–1990,50million,1.78 million,Action,1421573504,9.78142E+12,"In Greek mythology, Athena, the daughter of Zeus, was born in full armor. By birthright the goddess of battle, she did not believe in conquest, and only fought defensive wars. Her battles with bloodthirsty gods and giants shook the very earth and seemed to last forever. On the battlefield, there were a group of youths that always surrounded and protected the goddess: the Knights of Athena! Flash forward to modern-day Greece: two Japanese tourists are shocked to see a mansized meteorite crash to the earth before them. It turns out to be young Seiya. Seiya must train harder than ever if he is to survive his match with the brutal Cassios! Whoever wins will receive the greatest prize known to man: the incredibly powerful Pegasus Cloth! -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31045-YUcWBMk7RpeK.png,"Shounen, Foreign, Gods, Cultivation, Mythology",70,1985,classic,https://www.amazon.com/s?k=9781421573502
Saiyuki,Kazuya Minekura,Square Enix (first series) Ichijinsha (second and third series),Shōnen/Jōsei,23,1997–present,25million,1.08 million,Adventure,1646593332,9.78165E+12,"Genjo is a Buddhist priest in the city of Shangri-La, which is being ravaged by yokai spirits that have fallen out of balance with the natural order. His superiors send him on a journey far to the west to discover why this is happening and how to stop it. His companions are three yokai with human souls. But this is no day trip—the four will encounter many discoveries and horrors on the way, and on the road, Genjo will wonder … can he really trust his supernatural companions?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30509-dyDz0HuHxtpZ.jpg,"Primarily Male Cast, Shounen, Youkai, Male Protagonist, Classic Literature",72,1997,classic,https://www.amazon.com/s?k=9781646593330
Salary Man Kintaro,Hiroshi Motomiya,Shueisha,Seinen,30,1994–2002,34million,1.13 million,Drama,None,,"Retired ex-bike gang leader of the ""Hasshu"" Kintarou Yajima leaves his hometown where he worked as a fisherman until his wife, Akemi, passed away. With his son, Ryouta, they go to Tokyo, where Kintarou would start with his new job: a salaryman. Now, the question is: would Kintarou be able to handle the office work and office politics being a salaryman brings?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx40611-q5G9LJWzVY8F.jpg,"Seinen, Family Life, Male Protagonist, Work, Office",71,1994,classic,https://www.amazon.com/s?k=nan
Shaman King,Hiroyuki Takei,Shueisha/Kodansha,Shōnen,32/35,1998–2004,38million,1.08 million,Adventure,1646512006,9.78165E+12,"HEIR TO THE THRONE Shamans possess mysterious powers that allow them to commune with gods, spirits, and even the dead. High schooler Manta Oyamada doesn't know much about them, but that changes fast when his class welcomes a new transfer student from remote Izumo: Yoh Asakura, a shaman in training! Although he may just be starting out, Yoh’s dream is a big one: to become the Shaman King, the one and only shaman who may commune with the Great Spirit and help remake the world for the better. But the road to this pinnacle of spiritual power runs through the Shaman Fight: a gauntlet of battles with rival mediums who call forth dizzying powers from the world of the dead in their own bids for the crown. It’d be nice if Yoh had a little more time to train and mature...but the Shaman Fight is only held once every 500 years, so he’s going to have to grow up fast!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx42917-rgKGSzrU5nRm.jpg,"Twins, Male Protagonist, Primarily Male Cast, Shounen, Ghost",77,2008,2000s,https://www.amazon.com/s?k=9781646512003
Shizukanaru Don – Yakuza Side Story,Tatsuo Nitta,Jitsugyo no Nihon Sha,Seinen,108,1988–2013,45million,0.41 million,Action,None,,"This manga depicts the life of Shizuya Kondou, a man who designs underwear by day and is ""don"" of a gang at night.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx51308-ddH9wgqhbrX5.png,"Seinen, Yakuza, Male Protagonist",,1988,classic,https://www.amazon.com/s?k=nan
Shonan Junai Gumi,Tooru Fujisawa,Kodansha,Shōnen,31,1990–1996,45million,1.45 million,Action,None,,"Before Eikichi Onizuka would become the ""greatest teacher in the world,"" he and Ryuji Danma were members of the infamous biker gang, Oni Baku. When they weren't out riding around and getting into trouble, this duo could be found in school. Doing what you ask? Picking up young women of course!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30445-ysmwZRgYsaY1.png,"Delinquents, Shounen, Gangs, Male Protagonist, Urban",80,1990,classic,https://www.amazon.com/s?k=nan
Shoot!,Tsukasa Ōshima,Kodansha,Shōnen,33,1990–2003,50million,1.51 million,Sports,6164913861,9.78616E+12,"Tanaka Toshiko, Hira Matsu Kazuhiro and Shira Ichi Kenji, the top high school player Of the 3 Chenchi School, accidentally decided to attend Kagagawa School The main reason that Tanaka has entered into the Kagagawa Football Club. That's because he is fascinated by Kubo Yoshi Haru's footsteps, but luck is not on the side because at this time, Kubo is sick and treating himself at the hospital !! While in the club Tanaka had a quarrel with Kamiya Asuchi, Deputy Captain of the Senior M.5, causing the match against the 4 and M.5 temple.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx34222-MGx21kG80XJT.jpg,"Football, School Club, Shounen, Primarily Male Cast, Tragedy",65,1990,classic,https://www.amazon.com/s?k=9786164913868
Terra Formars,"Yū Sasuga, Kenichi Tachibana",Shueisha,Seinen,22,2011–2018 (on hiatus),22million,1.00 million,Science Fiction,3842023421,9.78384E+12,"After humanity’s first manned mission to the Red Planet was lost, a second expedition arrives. The explorers prepare to exterminate the cockroaches that were used to transform the Martian environment, but are shocked to discover that the insects have mutated into giant, aggressive humanoids with one overriding goal—exterminate the humans! However, this crew of explorers has each undergone the “Bugs Procedure,” terrifying experimental surgery designed to make them more than human",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx67563-AJqT7kcdBZqT.png,"Aliens, Henshin, Super Power, Tragedy, Seinen",69,2011,modern,https://www.amazon.com/s?k=9783842023420
The Chef,"Mai Tsurugina, Tadashi Katou",Nihon Bungeisha,Seinen,62,1986–2016 (on hiatus),35million,0.56 million,Culinary,None,,"Ajizawa is a renowned master chef, but he doesn’t have a restaurant. He is a “fixer”, a man who travels from place to place fixing menus and restaurants much like Gordon Ramsey, and he charges a fortune to do it. If your menu must be perfect to impress a foreign client, a head of state, or just a neighbor, Ajizawa is the man to do it. But why does he do it? Is it only the money, or is his mission much deeper",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx119818-JfPuwPt3nGI9.png,"Seinen, Food, Male Protagonist",,1985,classic,https://www.amazon.com/s?k=nan
The Fable,Katsuhisa Minami,Kodansha,Seinen,26,2014–present,20million,1.53 million,Action,None,9.79889E+12,"One hitman is feared above all in Japan: the killing machine known as ""The Fable."" But is he really a tough guy or more of a...weirdo? After a particularly lucrative spree necessitates a break from his life of crime, the Fable faces his hardest assignment ever: living as a normal guy, with a cover story, an apartment, and a pet parrot! An Angouleme Official Selection Omnibus edition includes Vol. 1-2. Anime coming soon! The man called The Fable is a self-proclaimed ""genius at killing."" The mention of his codename strikes fear into the hearts of every yakuza in Japan. His talent has brought him everything he could want: money, respect, purpose. But this is no legend. He's just a man--a rather irritating man who loves stupid jokes and bad TV. After a bloody period of gang enforcement in Tokyo, the Fable's boss advises him to lie low and enjoy his earnings for a while. So begins the Fable's toughest mission yet: a full year living a normal life, at the other end of the bullet train, in Osaka. It's a mission he takes on with his usual professionalism and rigor. But can the Osaka mob let this legend rest? Or will they be unable to resist pulling him back into the underworld?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx94490-rdtpGHQHOHHC.jpg,"Yakuza, Seinen, Urban, Assassins, Guns",84,2014,modern,https://www.amazon.com/s?k=9798888772447
The Prince of Tennis,Takeshi Konomi,Shueisha,Shōnen,42,1999–2008,60million,1.42 million,Sports,1421550210,9.78142E+12,"There is a rumor going around that a twelve-year-old boy is going to enter the sixteen-year-old and under tennis group. How can someone so young ever hope to compete with kids much older and more experienced than him? This is no ordinary kid: he is none other than Ryoma Echizen, the Prince of Tennis! Ryoma's father was destined for greatness until he injured himself during a match, ending his career forever. His talent was passed on to his son, who is determined to be the best tennis player in the world. Can the prince gain the respect of his fellow teammates despite his small size and young age? Find out in this intense sports manga! -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30049-ipwZTsHitrhC.png,"Tennis, School, Anti-Hero, Primarily Male Cast, Male Protagonist",74,1999,classic,https://www.amazon.com/s?k=9781421550213
The Promised Neverland,"Kaiu Shirai, Posuka Demizu",Shueisha,Shōnen,20,2016–2020,41million,2.05 million,Mystery,1974701190,9.78197E+12,"Emma, Norman and Ray are the brightest kids at the Grace Field House orphanage. And under the care of the woman they refer to as “Mom,” all the kids have enjoyed a comfortable life. Good food, clean clothes and the perfect environment to learn—what more could an orphan ask for? One day, though, Emma and Norman uncover the dark truth of the outside world they are forbidden from seeing",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx87423-gPNtu8QbGped.jpg,"Survival, Body Horror, Primarily Child Cast, Demons, Dystopian",79,2016,modern,https://www.amazon.com/s?k=9781974701193
The Rose of Versailles,Riyoko Ikeda,Shueisha,Shōjo,10,1972–1973,23million,2.30 million,Historical,1927925932,9.78193E+12,"Oscar François de Jarjeyes is a young noblewoman raised as a son by her father. As commander of Marie Antoinette's palace guard, Oscar is brought face-to-face with the luxury of King Louis XVI’s court at Versailles. Joined by her servant André, Oscar is privy to the intrigue and deceit of France's last great royal regime.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30660-hBFkOt2Ab2Ti.jpg,"Shoujo, Class Struggle, Foreign, Historical, Politics",83,1972,classic,https://www.amazon.com/s?k=9781927925935
The Seven Deadly Sins,Nakaba Suzuki,Kodansha,Shōnen,41,2012–2020,37million,0.90 million,Adventure,1646513797,9.78165E+12,"When they were accused of trying to overthrow the monarchy, the feared warriors the Seven Deadly Sins were sent into exile. Princess Elizabeth discovers the truth the Sins were framed by the king's guard, the Holy Knights too late to prevent them from assassinating her father and seizing the throne! Now the princess is on the run, seeking the Sins to help her reclaim the kingdom. But the first Sin she meets, Meliodas, is a little innkeeper with a talking pig. He doesn't even have a real sword! Have the legends of the Sins' strength been exaggerated...?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx74485-mFbj0sQEcBur.jpg,"Shounen, Ensemble Cast, Demons, Super Power, Magic",69,2012,modern,https://www.amazon.com/s?k=9781646513796
The Silent Service,Kaiji Kawaguchi,Kodansha,Seinen,32,1988–1996,25million,0.78 million,Action,,,"During the cold war, the Japan Maritime Self-Defense Force jointly developed a nuclear submarine with the United States Navy. On its maiden voyage, the captain declares the submarine to be an independent state, ""Yamato.""",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx48071-7NFEApUZJz73.png,"Military, Seinen, Male Protagonist, Primarily Male Cast, Primarily Adult Cast",,1989,classic,https://www.amazon.com/s?k=nan
Tokyo Ghoul,Sui Ishida,Shueisha,Seinen,30,2011–2018,47million,1.56 million,Horror,1421582988,9.78142E+12,"Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own. -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/b85710-OlD6yGX7yLdx.jpg,"Seinen, Gore, Survival, Food, Male Protagonist",64,2011,modern,https://www.amazon.com/s?k=9781421582986
Tokyo Revengers,Ken Wakui,Kodansha,Shōnen,28,2017–present,65million,2.32 million,Action,,9.79889E+12,"Hanagaki Takemichi was once a low-life punk, but after biting off more than he could chew with a gang in middle school, he ran away from his old life. Now that he’s an adult, the gang that once terrorized him has grown into the largest gang in Tokyo, and they’ve started killing people–including his old girlfriend! After learning this news, a mysterious force on a train platform shoves Takemichi right in front of an approaching train. As his life flashes before his eyes, he blinks to find himself transported back to middle school, before he fled from the gang! Now he has the chance to right what went wrong all those years ago. Can he save his girlfriend’s life in the future–and what else might he change if he’s rewriting the past?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx102988-OoVJxQCH6fbR.jpg,"Delinquents, Gangs, Time Manipulation, Time Skip, Tragedy",74,2017,modern,https://www.amazon.com/s?k=9798893731811
Toriko,Mitsutoshi Shimabukuro,Shueisha,Shōnen,43,2008–2016,25million,0.58 million,Adventure,1421546337,9.78142E+12,"This is the great era of gourmet food! And only Toriko can hunt down the ferocious ingredients that supply the world's best restaurants. As a Gourmet Hunter, Toriko tracks and defeats the tastiest and most dangerous animals with his bare hands. But has he met his match with an eight-legged alligator the size of a tank? -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx37887-eYfLTjygqwK8.png,"Food, Primarily Adult Cast, Super Power, Animals, Shounen",75,2005,2000s,https://www.amazon.com/s?k=9781421546339
Tsubasa: Reservoir Chronicle,Clamp,Kodansha,Shōnen,28,2003–2009,21million,0.71 million,Adventure,1612625959,9.78161E+12,"This is the story of four travelers, bound by fate and by prophesied future. Sakura is the princess of Clow Country, and possessor of a strange power that promises to change the world. Syaoran is an aspiring archaeologist and her childhood friend. When Sakura is endangered by the plan a certain man has for the future, the princess' memories are scattered across dimensions in the form of feathers, and Syaoran is forced to go on a desperate journey to retrieve them. They are accompanied by Fay D. Flourite, a magician running from the horrible truth of his past, and Kurogane, a rough-mannered ninja trying to get back to his world. However, the ability to cross worlds demands a great price, and each of them must pay the Dimensional Witch with what he or she values most. In order to save his princess, Syaoran must give up his relationship with her. Even if he gathers all of Sakura's memories, she will never remember their past together...",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30009-09bbURlklWWL.jpg,"Travel, Alternate Universe, Magic, Crossover, Found Family",80,2003,2000s,https://www.amazon.com/s?k=9781612625959
Urusei Yatsura,Rumiko Takahashi,Shogakukan,Shōnen,34,1978–1987,35million,1.02 million,Comedy,1974709914,9.78197E+12,"In a high-stakes game of tag, Ataru must touch Lum’s horns in ten days—or aliens will take over the earth! The fact that Lum can fly doesn’t make Ataru’s job any easier. As it turns out, the game of tag is only the beginning of Ataru’s troubles, as he continues to attract strange encounters with otherworldly beings like beautiful snow spirit Oyuki and the sexy crow goblin Princess Kurama! -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30304-jAQt0fJkMgUd.jpg,"Surreal Comedy, Aliens, Episodic, Slapstick, Shounen",76,1978,classic,https://www.amazon.com/s?k=9781974709915
Ushijima the Loan Shark,Shohei Manabe,Shogakukan,Seinen,46,2004–2019,21million,0.45 million,Drama,,9.78409E+12,"In recent years, Japan has become the shining light of Asia, with its noteworthy achievements in the fields of Science and Technology, Medicine and the like. But while there are a great number of rich and successful Japanese people, there are even more who're engaged in a furious struggle simply to earn their day-to-day living expenses -- all the while battling dangerous and money-consuming addictions such as gambling and alcoholism. What will these people do when they require the cash to feed the never-ending desires that are part and parcel of being human? How miserable and dangerous might their lives become if they fall into traps set by black market money-lenders to ensnare just such weak-willed individuals?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx38593-awJo5dAgEuqj.png,"Seinen, Crime, Prostitution, Yakuza, Tragedy",69,2004,2000s,https://www.amazon.com/s?k=9784091873415
Worst,Hiroshi Takahashi,Akita Shoten,Shōnen,33,2002–2013,35million,1.06 million,Action,,9.78157E+12,"The main character, Hana Tsukishima, a freshman at Suzuran, comes from a very distant countryside in Japan. Although gentle and warm hearted, Hana is a tough fighter who has no problem facing several opponents at one time. His ambition is to claim the ""bancho"" status (the head) and unify/bring order to Suzuran by defeating whomever comes in his way with the support of both his friends and upperclassmen who are drawn to his strength and character. At other times, he must fight thugs from rival schools and gangs.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31741-7LLF2YLnSef2.jpg,"Delinquents, Shounen, Primarily Male Cast, School, Coming of Age",79,2001,2000s,https://www.amazon.com/s?k=9781569709832
Yu-Gi-Oh!,Kazuki Takahashi,Shueisha,Shōnen,38,1996–2004,40million,1.05 million,Adventure,1421567431,9.78142E+12,"Sitting by himself in the back of the class, 10th-grader Yugi always had his head in some game--until he solved the Millennium Puzzle, an Egyptian artifact containing a powerful spirit from the age of the pharoahs! Awakened after three thousand years, the King of Games possesses Yugi, recklessly challenging bullies and evildoers to the Shadow Games, where the stakes are high, and even the most ordinary bet may result in weirdness and danger beyond belief! Let the games…begin!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/b94558-sgjua8C2McpZ.png,"Historical, School, Shounen, Card Battle",60,1999,classic,https://www.amazon.com/s?k=9781421567433
Yūkan Club,Yukari Ichijo,Shueisha,Shōjo,19,1982–2002,25million,1.31 million,Mystery,,9.78409E+12,"St. President school is one of the most prestigious schools around. Everybody in this school respects the Yuukan club, the richest and most popular group in the school. Its members - Bidou Granmarnier, Shouchikubai Miroku, Kenbishi Yuuri, Kikumasamune Seishirou, Hakushika Noriko and Kizakura Karen - go through dangerous adventures to save their schoolmates and, of course, to kill time.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx34244-F8gmOYWVZtPi.png,"School, Crime, Episodic, Shoujo, School Club",65,1981,classic,https://www.amazon.com/s?k=9784086176019
YuYu Hakusho,Yoshihiro Togashi,Shueisha,Shōnen,19,1990–1994,50million,2.63 million,Action,1569319049,9.78157E+12,"A delinquent’s gotta do what he’s gotta do…in the afterlife. Yusuke Urameshi was a tough teen delinquent until one selfless act changed his life...by ending it. When he died saving a little kid from a speeding car, the afterlife didn't know what to do with him, so it gave him a second chance at life. Now, Yusuke is a ghost with a mission, performing good deeds at the beshest of Botan, the spirit guide of the dead, and Koenma, her pacifier-sucking boss from the ""other side."" But what strange things await him on the borderline between life and death?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30053-wCR6xyGzeUYo.png,"Shounen, Super Power, Primarily Male Cast, Demons, Cultivation",80,1990,classic,https://www.amazon.com/s?k=9781569319048
Zatch Bell!,Makoto Raiku,Shogakukan,Shōnen,33,2001–2007,23.8million,0.72 million,Adventure,8416788677,9.78842E+12,"Fourteen-year-old Kiyo, an arrogant genius who is teased mercilessly at school, is given a strange boy, Zatch Bell, for his birthday to help him make friends, but Zatch turns out to have strange powers that change Kiyo's life forever.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30869-74jlFKeVhvsG.jpg,"Battle Royale, Shounen, Magic, Male Protagonist, Survival",82,2001,2000s,https://www.amazon.com/s?k=9788416788675
Solo Leveling,Chugong,D&C Media,Webtoon,28,2018–2021,,,Action,,9.78198E+12,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Seong Jin-U, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jin-U has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jin-U’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx105398-b673Vt5ZSuz3.jpg,"Dungeon, Male Protagonist, Super Power, War, Full Color",84,2018,modern,https://www.amazon.com/s?k=9781975319434
Vinland Saga,Makoto Yukimura,Kodansha,Seinen,16,2005–present,,,Action,,9.78161E+12,"As a child, Thorfinn sat at the feet of the great Leif Ericson and thrilled to wild tales of a land far to the west. But his youthful fantasies were shattered by a mercenary raid. Raised by the Vikings who murdered his father, Thorfinn became a terrifying warrior, forever seeking to kill the band's leader, Askeladd, and avenge his father. Sustaining Thorfinn through his ordeal are his pride in his family and his dreams of a fertile westward land, a land without war or slavery … the land Leif called Vinland.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30642-0mjRDkf4THpo.jpg,"Rehabilitation, Historical, Vikings, Coming of Age, Foreign",90,2005,2000s,https://www.amazon.com/s?k=9781612624204
Horimiya,HERO,Square Enix,Shōnen,,2011–2021,,,Romance,,9.78032E+12,"At school, Kyouko Hori is known for being smart, attractive, and popular. On the other hand, her classmate, the boring, gloomy Izumi Miyamura tends to get painted as a ""loser fanboy."" But when a liberally pierced and tattooed (not to mention downright gorgeous) Miyamura appears unexpectedly on the doorstep of secretly plain-Jane homebody Hori, these two similarly dissimilar teenagers discover that there are multiple sides to every story...and person!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx72451-vVXtRwyttjGG.png,"Heterosexual, Female Protagonist, Male Protagonist, Primarily Teen Cast, Tsundere",82,2011,modern,https://www.amazon.com/s?k=9780316342032
Omniscient Reader,singNsong,Naver Webtoon,Webtoon,28,2020–present,,,Action,,9.7984E+12,"Back then, Dok-Ja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dok-Ja will go on a journey to change the course of the story and save humankind once and for all.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx119257-Pi21aq3ey9GG.jpg,"Survival, Post-Apocalyptic, Death Game, Full Color, Meta",86,2020,modern,https://www.amazon.com/s?k=9798400901065
Kaguya-sama: Love is War,Aka Akasaka,Shueisha,Seinen,30,2015–2022,,,Comedy,,9.78197E+12,"As leaders of their prestigious academy’s student council, Kaguya and Miyuki are the elite of the elite! But it’s lonely at the top… Luckily for them, they’ve fallen in love! There’s just one problem—they both have too much pride to admit it. And so begins the daily scheming to get the object of their affection to confess their romantic feelings first… Love is a war you win by losing.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx86635-EdaLQmsn86Fy.png,"School, Heterosexual, Tsundere, Primarily Teen Cast, Female Protagonist",88,2015,modern,https://www.amazon.com/s?k=9781974700301
Blue Lock,Muneyuki Kaneshiro,Kodansha,Shōnen,15,2018–present,,,Sports,,9.78165E+12,"After a disastrous defeat at the 2018 World Cup, Japan's team struggles to regroup. But what's missing? An absolute Ace Striker, who can guide them to the win. The Japan Football Union is hell-bent on creating a striker who hungers for goals and thirsts for victory, and who can be the decisive instrument in turning around a losing match...and to do so, they've gathered 300 of Japan's best and brightest youth players. Who will emerge to lead the team...and will they be able to out-muscle and out-ego everyone who stands in their way?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx106130-yPNeuSu75ey1.jpg,"Football, Male Protagonist, Battle Royale, Athletics, Primarily Male Cast",82,2018,modern,https://www.amazon.com/s?k=9781646516544
Dandadan,Yukinobu Tatsu,Shueisha,Shōnen,36,2021–present,,,Action,,9.78197E+12,"Momo Ayase strikes up an unusual friendship with her school’s UFO fanatic, whom she nicknames “Okarun” because he has a name that is not to be said aloud. While Momo believes in spirits, she thinks aliens are nothing but nonsense. Her new friend, meanwhile, thinks the exact opposite. To settle matters, the two set out to prove each other wrong—Momo to a UFO hotspot and Okarun to a haunted tunnel! What unfolds next is a beautiful story of young love…and oddly horny aliens and spirits?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx132029-prGF4gePdSKv.jpg,"Urban Fantasy, Youkai, Aliens, Ghost, Super Power",83,2021,modern,https://www.amazon.com/s?k=9781974734634
Black Clover,Yūki Tabata,Shueisha,Shōnen,,2015–present,,,Action,,9.78142E+12,"Young Asta was born with no magic ability in a world where magic is everything. In order to prove his strength and keep a promise with his friend, Asta dreams of becoming the greatest mage in the land, the Wizard King!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx114652-b4VxxYpvU8id.png,"Shounen, Magic, Male Protagonist, Swordplay",68,2014,modern,https://www.amazon.com/s?k=9781421587189
Tower of God,SIU,Naver Webtoon,Webtoon,8,2010–present,,,Action,,9.78199E+12,"Bam, who was alone all his life has entered the tower to chase after his only friend, Rachel, but how will he survive without having any special strength or power? “What do you desire? Money and wealth? Honor and pride? Authority and power? Revenge? Or something that transcends them all? Whatever you desire—it's here.""",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85143-23oup3ETbFJk.jpg,"Super Power, Ensemble Cast, Full Color, War, Conspiracy",81,2010,modern,https://www.amazon.com/s?k=9781990259906
Fire Punch,Tatsuki Fujimoto,Shueisha,Shōnen,7,2016–2018,,,Drama,,9.78142E+12,"Orphaned siblings Agni and Luna, like the Ice Witch who cursed their world, are two of the “blessed,” humans who hold special abilities. However, not all who are blessed are friendly, and after another of their kind attacks Agni and decimates the orphans' village, Agni fights to survive, vowing revenge.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx87170-nyuwcN7rU4pc.jpg,"Post-Apocalyptic, Suicide, Tragedy, Dystopian, Revenge",78,2016,modern,https://www.amazon.com/s?k=9781421597171
A Silent Voice,Yoshitoki Ōima,Kodansha,Shōnen,26,2013–2014,,,Drama,,9.78163E+12,"Shouya is a bully. When Shouko, a girl who can't hear, enters his elementary school class, she becomes their favorite target, and Shouya and his friends goad each other into devising new tortures for her. But the children's cruelty goes too far. Shouko is forced to leave the school, and Shouya ends up shouldering all the blame. Six years later, the two meet again. Can Shouya make up for his past mistakes, or is it too late?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85135-11OOnyaqV71k.png,"Rehabilitation, Language Barrier, Bullying, Coming of Age, Disability",87,2013,modern,https://www.amazon.com/s?k=9781632360564
Dr. STONE,Riichiro Inagaki,Shueisha,Shōnen,3,2017–2022,,,Science Fiction,,9.78197E+12,"One fateful day, all of humanity was petrified by a blinding flash of light. After several millennia, high schooler Taiju awakens and finds himself lost in a world of statues. However, he’s not alone! His science-loving friend Senku’s been up and running for a few months and he's got a grand plan in mind—to kickstart civilization with the power of science!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/b98416-L44f4idEGMAX.jpg,"Post-Apocalyptic, Survival, Ensemble Cast, Educational, Male Protagonist",81,2017,modern,https://www.amazon.com/s?k=9781974702619
